block,condition,rt,subject_id
0.0,other,538.6971275858804,8
0.0,self,611.7466000001075,8
1.0,other,547.4637793106075,8
1.0,self,626.3662133331915,8
2.0,other,575.2128800001325,8
2.0,self,589.0068896551384,8
3.0,other,543.2317666660916,8
3.0,self,590.8298833334508,8
4.0,other,577.0601392853548,8
4.0,self,598.2238310341551,8
5.0,other,513.0330933329484,8
5.0,self,552.402093333391,8
6.0,other,561.1126633333091,8
6.0,self,552.468962068815,8
7.0,other,608.6889966663875,8
7.0,self,703.984396552124,8
8.0,other,567.1760100004273,8
8.0,self,554.1947482756925,8
9.0,other,515.5064800001128,8
9.0,self,547.490939999625,8
10.0,other,453.14591379265664,8
10.0,self,540.9122033333309,8
11.0,other,578.1957379309962,8
11.0,self,502.5871896552793,8
0.0,other,780.6592785678571,9
0.0,self,729.1630966833333,9
1.0,other,748.8109200133333,9
1.0,self,662.778210337931,9
2.0,other,715.6718666600001,9
2.0,self,663.5427068931034,9
3.0,other,719.8024166466668,9
3.0,self,627.39348335,9
4.0,other,725.5703699933333,9
4.0,self,617.66869668,9
5.0,other,694.86934999,9
5.0,self,683.1619000034483,9
6.0,other,781.5053100033333,9
6.0,self,776.1506333266666,9
7.0,other,735.9551689551724,9
7.0,self,719.6661099866667,9
8.0,other,663.4345100033333,9
8.0,self,664.0303666599999,9
9.0,other,825.7489857,9
9.0,self,754.7314172517241,9
10.0,other,711.3773566833333,9
10.0,self,738.1040066866666,9
11.0,other,733.0769333,9
11.0,self,571.9881666666666,9
0.0,other,712.7719655078996,7
0.0,self,713.6509285815658,7
1.0,other,785.2996700055277,7
1.0,self,601.3882249951296,7
2.0,other,535.9867172444175,7
2.0,self,652.5535333241957,7
3.0,other,738.0797655185171,7
3.0,self,654.1772689710467,7
4.0,other,578.7312999988595,7
4.0,self,522.5632366685508,7
5.0,other,627.8177103477306,7
5.0,self,729.7359103505531,7
6.0,other,662.939028573289,7
6.0,self,706.9172103495883,7
7.0,other,668.8472499993319,7
7.0,self,615.8712206986444,7
8.0,other,722.7545966782296,7
8.0,self,679.8965750162357,7
9.0,other,540.3405299875885,7
9.0,self,660.0363448117699,7
10.0,other,607.8934566622289,7
10.0,self,628.0618666515996,7
11.0,other,589.1282476285206,7
11.0,self,714.892646127667,7
0.0,other,828.9135100000068,13
0.0,self,733.2850333333411,13
1.0,other,790.103475862107,13
1.0,self,724.4914428571859,13
2.0,other,782.1258733333403,13
2.0,self,672.5255566666723,13
3.0,other,842.0918392857694,13
3.0,self,616.5109827585999,13
4.0,other,804.5610103447965,13
4.0,self,833.3850571427937,13
5.0,other,831.6698733333396,13
5.0,self,773.8431166666638,13
6.0,other,901.8023466666364,13
6.0,self,804.4497633333928,13
7.0,other,848.5966884615419,13
7.0,self,884.9893166666637,13
8.0,other,675.9407586206524,13
8.0,self,745.2650100000028,13
9.0,other,707.8841965516685,13
9.0,self,784.3271689655545,13
10.0,other,709.7316000000319,13
10.0,self,712.3673000000357,13
11.0,other,666.3950033332791,13
11.0,self,740.3755700000147,13
0.0,other,681.1614357142649,12
0.0,self,629.4824413792506,12
1.0,other,580.003489655265,12
1.0,self,598.8582178573389,12
2.0,other,702.0563931033269,12
2.0,self,568.807717241098,12
3.0,other,677.5483700001132,12
3.0,self,625.1021285715979,12
4.0,other,604.5146103447694,12
4.0,self,558.0756827587501,12
5.0,other,657.6949107143913,12
5.0,self,655.0951448278848,12
6.0,other,664.035114285915,12
6.0,self,743.0562148149168,12
7.0,other,564.7393633332589,12
7.0,self,667.118473333297,12
8.0,other,800.5665000002409,12
8.0,self,801.4545827586674,12
9.0,other,739.7561333333821,12
9.0,self,763.344968965549,12
10.0,other,724.8213518517636,12
10.0,self,692.1811033333142,12
11.0,other,683.495457142986,12
11.0,self,739.0012142856384,12
0.0,other,513.1347518517605,6
0.0,self,464.99938928582196,6
1.0,other,503.6868777779428,6
1.0,self,471.2042785713493,6
2.0,other,481.3006321427825,6
2.0,self,450.2505666666063,6
3.0,other,442.0542357143599,6
3.0,self,431.32965333322016,6
4.0,other,488.5924076920324,6
4.0,self,477.5658392856193,6
5.0,other,452.06192413777524,6
5.0,self,426.04693703698877,6
6.0,other,442.79738928597516,6
6.0,self,493.83318076944795,6
7.0,other,497.8833214286819,6
7.0,self,463.4075629630927,6
8.0,other,509.2849586207163,6
8.0,self,435.5132370367722,6
9.0,other,448.358343333166,6
9.0,self,434.93225714278844,6
10.0,other,524.7667666665317,6
10.0,self,441.0231103453231,6
11.0,other,517.3870333333374,6
11.0,self,523.0086034483473,6
0.0,other,448.8526200002525,10
0.0,self,449.34802000000974,10
1.0,other,419.48256333344034,10
1.0,self,472.99782666644506,10
2.0,other,437.8065633338944,10
2.0,self,449.826189655643,10
3.0,other,459.72067000002426,10
3.0,self,452.37930999974196,10
4.0,other,437.6490533331283,10
4.0,self,429.5153733331972,10
5.0,other,445.5509034482459,10
5.0,self,520.0022586208872,10
6.0,other,403.2565299997562,10
6.0,self,400.7553033331836,10
7.0,other,414.1881633338926,10
7.0,self,412.716616666997,10
8.0,other,436.42442999989726,10
8.0,self,444.0014100005404,10
9.0,other,398.555279999952,10
9.0,self,454.0219799998643,10
10.0,other,425.5901666662491,10
10.0,self,425.17764333351806,10
11.0,other,424.8307099998783,10
11.0,self,462.54506551699234,10
0.0,other,537.7574333333238,4
0.0,self,532.7139766667036,4
1.0,other,500.3891600001225,4
1.0,self,509.45200689655957,4
2.0,other,428.48810000007154,4
2.0,self,544.048446666693,4
3.0,other,415.22176551718763,4
3.0,self,439.38453000003693,4
4.0,other,421.5658103447791,4
4.0,self,429.4918700001593,4
5.0,other,320.09282333331913,4
5.0,self,393.85047333331994,4
6.0,other,308.2915066665919,4
6.0,self,428.1313310345687,4
7.0,other,293.1680433332076,4
7.0,self,293.7484370369795,4
8.0,other,377.41424333344185,4
8.0,self,301.2947655171078,4
9.0,other,318.37041333340795,4
9.0,self,328.2502833332728,4
10.0,other,241.81173000003278,4
10.0,self,324.02839666665386,4
11.0,other,268.6585551724608,4
11.0,self,324.20605999986947,4
0.0,other,483.34105172415514,5
0.0,self,576.3598033333059,5
1.0,other,491.191744827598,5
1.0,self,560.7246724138083,5
2.0,other,523.9159366667158,5
2.0,self,572.5995699999506,5
3.0,other,473.13399666668374,5
3.0,self,535.2995586206911,5
4.0,other,458.7592933333023,5
4.0,self,447.91701000002223,5
5.0,other,489.88390666675815,5
5.0,self,517.5829566666531,5
6.0,other,480.2339793104693,5
6.0,self,505.95342068971087,5
7.0,other,513.2854033333994,5
7.0,self,513.3035172414974,5
8.0,other,489.4050599998991,5
8.0,self,475.1462433332563,5
9.0,other,455.34206666661703,5
